sym_nr,pis,ko,psl,konf,lew,bs,inni
452,40.272,26.684,9.615,10.873,9.81,1.948,0.798
453,37.167,31.219,8.264,10.979,9.187,2.538,0.647
454,41.237,26.994,10.865,9.505,8.019,2.49,0.89
455,35.686,30.038,10.808,10.596,9.007,2.959,0.906
456,37.714,28.979,10.633,11.221,8.495,1.734,1.224
457,37.428,28.721,10.052,10.002,10.121,2.954,0.723
458,37.202,28.689,8.802,11.649,10.362,2.683,0.613
459,38.52,30.752,8.384,9.577,9.38,2.38,1.007
460,36.088,30.39,9.633,10.394,10.412,1.709,1.374
461,38.499,31.302,7.425,10.586,9.011,2.262,0.915
