okr_num,nazwa,pis,ko,psl,konf,lew,sym_nr
32,Katowice III,31.569,32.032,5.99,10.436,16.452,0
33,Kielce,47.641,19.024,10.924,9.583,7.694,0
34,Elbl¹g,34.737,31.415,12.334,9.262,8.893,0
35,Olsztyn,32.897,29.345,14.478,11.011,10.363,0
36,Kalisz,36.021,27.446,14.166,10.569,10.145,0
37,Konin,40.445,23.082,10.868,10.757,11.602,0
38,Pi³a,30.064,33.334,15.316,10.324,10.065,0
39,Poznañ,21.697,47.663,7.672,10.313,12.073,0
40,Koszalin,31.087,34.91,10.863,9.616,11.515,0
41,Szczecin,29.742,38.047,8.935,10.524,11.414,0
1,Legnica,36.229,28.853,8.495,9.428,11.61,1
2,Wa³brzych,33.914,36.178,8.863,8.655,8.721,1
3,Wroc³aw,29.493,37.033,8.191,11.486,10.813,1
4,Bydgoszcz,30.849,34.765,10.667,11.046,10.696,1
5,Toruñ,34.418,29.947,12.548,9.955,10.53,1
6,Lublin,47.92,21.383,10.435,11.368,5.607,1
7,Che³m,51.285,16.666,13.381,9.417,5.13,1
8,Zielona Góra,28.971,34.937,13.486,11.2,10.91,1
9,£ódŸ,28.132,39.393,5.951,10.307,13.999,1
10,Piotrków Trybunalski,48.412,17.923,11.874,10.727,7.738,1
11,Sieradz,42.473,23.805,11.747,9.461,8.54,1
12,Kraków I,45.874,25.506,9.415,11.057,5.949,1
13,Kraków II,33.926,33.42,8.88,12.679,9.043,1
14,Nowy S¹cz,56.863,15.908,8.348,10.936,4.159,1
15,Tarnów,51.339,16.341,14.948,11.112,4.096,1
16,P³ock,45.556,18.868,17.095,8.757,6.671,1
17,Radom,49.677,20.303,11.67,9.472,5.422,1
18,Siedlce,51.741,16.294,13.449,10.431,4.644,1
19,Warszawa I,23.687,45.462,6.438,11.851,12.468,1
20,Warszawa II,35.023,32.259,10.31,10.585,9.082,1
21,Opole,31.274,30.174,12.064,8.963,8.123,1
22,Krosno,54.5,17.857,9.073,10.782,4.445,1
23,Rzeszów,53.912,16.046,9.022,12.965,4.713,1
24,Bia³ystok,45.011,23.643,10.931,10.947,6.532,1
25,Gdañsk,27.052,44.884,7.715,11.222,9.267,1
26,S³upsk,30.849,39.417,9.749,11.321,8.779,1
27,Bielsko-Bia³a I,40.044,30.257,8.461,11.753,7.997,1
28,Czêstochowa,37.957,25.785,10.078,9.669,11.2,1
29,Katowice I,31.94,36.285,7.492,12.027,9.523,1
30,Bielsko-Bia³a II,40.956,30.955,7.194,11.178,6.819,1
31,Katowice II,32.804,40.772,5.815,11.654,8.211,1
32,Katowice III,31.268,33.079,6.223,10.387,15.477,1
33,Kielce,47.194,19.612,11.398,9.537,7.251,1
34,Elbl¹g,34.405,32.418,12.857,9.219,8.375,1
35,Olsztyn,32.582,30.278,15.112,10.958,9.747,1
36,Kalisz,35.677,28.319,14.78,10.519,9.547,1
37,Konin,40.062,23.805,11.339,10.705,10.932,1
38,Pi³a,29.775,34.414,15.981,10.274,9.474,1
39,Poznañ,21.491,49.264,7.97,10.263,11.339,1
40,Koszalin,30.789,36.05,11.316,9.57,10.827,1
41,Szczecin,29.457,39.307,9.29,10.475,10.735,1
1,Legnica,37.092,27.502,8.683,8.454,12.422,2
2,Wa³brzych,34.739,34.445,9.053,7.753,9.331,2
